Nodos Aristas Frontera |CMF| Segundos
3500 3500 2 1 0.00708600000000000
4500 4500 2 1 0.00493900000000000
4500 4500 2 1 0.00172900000000000
4500 4500 2 1 0.00171900000000000
4500 4500 2 1 0.00172600000000000
4500 4500 2 1 0.00171900000000000
4500 4500 2 1 0.00172700000000000
5000 5000 2 1 0.00550000000000000
3500 3500 2 1 0.00535000000000000
3500 3500 2 1 0.00511800000000000
3500 3500 2 1 0.00519000000000000
3500 3500 2 1 0.00502500000000000
3500 3500 2 1 0.00517400000000000
3500 3500 2 1 0.00521200000000000
3500 3500 2 1 0.00513800000000000
3500 3500 2 1 0.00490100000000000
3500 3500 2 1 0.00524300000000000
5000 5000 2 1 0.00200900000000000
5500 5500 2 1 0.00536500000000000
4000 4000 2 1 0.00473700000000000
4000 4000 2 1 0.00447500000000000
4000 4000 2 1 0.00473700000000000
4000 4000 2 1 0.00449900000000000
4000 4000 2 1 0.00454700000000000
4000 4000 2 1 0.00435600000000000
4000 4000 2 1 0.00484100000000000
4000 4000 2 1 0.00459300000000000
4000 4000 2 1 0.00462500000000000
4000 4000 2 1 0.00523100000000000
4500 4500 2 1 0.00408400000000000
4500 4500 2 1 0.00470000000000000
4500 4500 2 1 0.00419400000000000
4500 4500 2 1 0.00430100000000000
5500 5500 2 1 0.00613400000000000
5000 5000 2 1 0.00569700000000000
5000 5000 2 1 0.00595400000000000
5000 5000 2 1 0.00560800000000000
5000 5000 2 1 0.00562800000000000
5000 5000 2 1 0.00581500000000000
5000 5000 2 1 0.00575600000000000
5000 5000 2 1 0.00579100000000000
5000 5000 2 1 0.00754700000000000
6000 6000 2 1 0.00517700000000000
5500 5500 2 1 0.00630100000000000
5500 5500 2 1 0.00650800000000000
5500 5500 2 1 0.00609900000000000
5500 5500 2 1 0.00618100000000000
5500 5500 2 1 0.00581200000000000
5500 5500 2 1 0.00567700000000000
5500 5500 2 1 0.00754500000000000
5500 5500 2 1 0.00791100000000000
6000 6000 2 1 0.00681800000000000
6000 6000 2 1 0.00673400000000000
6000 6000 2 1 0.00655300000000000
6000 6000 2 1 0.00596900000000000
6000 6000 2 1 0.00590300000000000
6000 6000 2 1 0.00624900000000000
6000 6000 2 1 0.00622800000000000
6000 6000 2 1 0.00685900000000000
6000 6000 2 1 0.00678000000000000
6500 6500 2 1 0.00572100000000000
6500 6500 2 1 0.00653500000000000
6500 6500 2 1 0.00714700000000000
6500 6500 2 1 0.00714200000000000
6500 6500 2 1 0.00722600000000000
6500 6500 2 1 0.00733400000000000
6500 6500 2 1 0.00745900000000000
6500 6500 2 1 0.00594800000000000
6500 6500 2 1 0.00641600000000000
6500 6500 2 1 0.00639300000000000
7000 7000 2 1 0.00673500000000000
7000 7000 2 1 0.00631800000000000
7000 7000 2 1 0.00684900000000000
7000 7000 2 1 0.00610300000000000
7000 7000 2 1 0.00630200000000000
7000 7000 2 1 0.00699200000000000
7000 7000 2 1 0.00704300000000000
7000 7000 2 1 0.00702000000000000
7000 7000 2 1 0.00620800000000000
7000 7000 2 1 0.00679500000000000
7500 7500 2 1 0.00739600000000000
7500 7500 2 1 0.00761700000000000
7500 7500 2 1 0.00610500000000000
7500 7500 2 1 0.00723000000000000
7500 7500 2 1 0.00682500000000000
7500 7500 2 1 0.01017800000000000
7500 7500 2 1 0.01068800000000000
7500 7500 2 1 0.01049000000000000
7500 7500 2 1 0.00840700000000000
7500 7500 2 1 0.00829800000000000
8000 8000 2 1 0.00765100000000000
8000 8000 2 1 0.00724100000000000
8000 8000 2 1 0.00775900000000000
8000 8000 2 1 0.00787900000000000
8000 8000 2 1 0.00780000000000000
8000 8000 2 1 0.00775200000000000
8000 8000 2 1 0.00771400000000000
8000 8000 2 1 0.00857900000000000
8000 8000 2 1 0.00744100000000000
8000 8000 2 1 0.00774200000000000
8500 8500 2 1 0.01159500000000000
8500 8500 2 1 0.01170800000000000
8500 8500 2 1 0.00726000000000000
8500 8500 2 1 0.00750000000000000
8500 8500 2 1 0.00771400000000000
8500 8500 2 1 0.00722200000000000
8500 8500 2 1 0.00766200000000000
8500 8500 2 1 0.00818000000000000
8500 8500 2 1 0.00885900000000000
8500 8500 2 1 0.00856400000000000
9000 9000 2 1 0.00914900000000000
9000 9000 2 1 0.00942600000000000
9000 9000 2 1 0.00934100000000000
9000 9000 2 1 0.00990100000000000
9000 9000 2 1 0.00847300000000000
9000 9000 2 1 0.00902300000000000
9000 9000 2 1 0.00910100000000000
9000 9000 2 1 0.00905400000000000
9000 9000 2 1 0.00862800000000000
9000 9000 2 1 0.00873100000000000
9500 9500 2 1 0.00860000000000000
9500 9500 2 1 0.00973900000000000
9500 9500 2 1 0.00949300000000000
9500 9500 2 1 0.00698200000000000
9500 9500 2 1 0.01032900000000000
9500 9500 2 1 0.00709800000000000
9500 9500 2 1 0.01025400000000000
9500 9500 2 1 0.00666000000000000
9500 9500 2 1 0.00693800000000000
9500 9500 2 1 0.00616400000000000
10000 10000 2 1 0.00677500000000000
10000 10000 2 1 0.00642600000000000
10000 10000 2 1 0.00647600000000000
10000 10000 2 1 0.00664900000000000
10000 10000 2 1 0.00551300000000000
10000 10000 2 1 0.00577300000000000
10000 10000 2 1 0.00635400000000000
10000 10000 2 1 0.00660100000000000
10000 10000 2 1 0.00420000000000000
10000 10000 2 1 0.00408200000000000
