Nodos Aristas Frontera |CMF| Segundos
3500 1147129 763877 874 10.68162700000000065
3500 1147129 763877 874 14.02408800000000078
3500 1147129 763877 874 11.04184799999999989
3500 1147129 763877 874 11.46616700000000044
3500 1147129 763877 874 11.53631700000000038
3500 1147129 763877 874 12.15638599999999947
3500 1147129 763877 874 14.08547699999999914
3500 1147129 763877 874 14.11648800000000037
3500 1147129 763877 874 14.23531900000000050
3500 1147129 763877 874 14.20174199999999942
4000 1498504 998002 999 15.36374799999999929
4000 1498504 998002 999 16.08423300000000111
4000 1498504 998002 999 16.10060000000000002
4000 1498504 998002 999 16.49731099999999984
4000 1498504 998002 999 16.52976599999999863
4000 1498504 998002 999 18.19997199999999893
4000 1498504 998002 999 21.43759100000000117
4000 1498504 998002 999 21.41061200000000042
4000 1498504 998002 999 21.47305199999999914
4000 1498504 998002 999 21.65621200000000002
4500 1896754 1263377 1124 23.24035699999999949
4500 1896754 1263377 1124 24.13836999999999833
4500 1896754 1263377 1124 30.76871799999999979
4500 1896754 1263377 1124 30.85088899999999867
4500 1896754 1263377 1124 24.06984100000000026
4500 1896754 1263377 1124 25.90181400000000167
5000 2341879 1560002 1249 25.52118300000000062
5000 2341879 1560002 1249 26.28273300000000035
4500 1896754 1263377 1124 30.72638900000000106
4500 1896754 1263377 1124 30.79929500000000075
4500 1896754 1263377 1124 30.43381799999999870
4500 1896754 1263377 1124 30.49823400000000007
5000 2341879 1560002 1249 25.55219999999999914
5000 2341879 1560002 1249 26.11359799999999964
5000 2341879 1560002 1249 27.09846399999999988
5000 2341879 1560002 1249 34.97856000000000165
5000 2341879 1560002 1249 34.91024699999999825
5000 2341879 1560002 1249 35.19939099999999854
5000 2341879 1560002 1249 35.44930599999999998
5000 2341879 1560002 1249 35.36824899999999872
